group,experiment,model,model_key,n_pages,precision@50,recall@50,f1@50,mAP@50,mAP@50-95,mean_iou,tp,fp,fn,n_gt,n_pred_kept,n_pred_total,best_f1,best_f1_threshold
Overall,base,DeepLabV3,deeplabv3,509,0.07447864945382324,0.005877282344643837,0.010894828588030215,0.0018157525095070062,0.0008472527508295803,0.6543471307858614,75,932,12686,12761,1007,1240,0.011088933244621867,0.5193803310394287
Overall,base,SAM (large),sam_large,509,0.18583281903586368,0.21236580205313063,0.19821533060269164,0.06622770205452222,0.02892817830075281,0.7280556176928407,2710,11873,10051,12761,14583,14583,0.19992441421012846,0.894203245639801
Overall,base,SAM (base),sam_base,509,0.1072582177465324,0.08847269022803855,0.09696397131446731,0.016927451056837302,0.006967230559737354,0.6851689418695178,1129,9397,11632,12761,10526,10526,0.09708570443179859,0.8806396722793579
Overall,base,YOLO8n-seg,yolov8n_seg,509,0.04081632653061224,0.00015672752919050232,0.00031225604996096805,0.0048805425775315945,0.0018604181498823754,0.9465177166798339,2,47,12759,12761,49,13323,0.0563531669865643,0.0010031228885054588
Overall,base,Yolov10n-det,yolov10n_det,509,0.03571428571428571,0.0005485463521667581,0.0010804970286331715,0.011424024243298693,0.006538553273650313,0.8247283991247586,7,189,12754,12761,196,37719,0.02920418593331711,0.006822355091571808
Overall,base,YOLO11x-seg,yolo11x_seg,509,0.0546875,0.0010970927043335162,0.002151033264192979,0.00841537654927118,0.005441880388029083,0.7186916721538262,14,242,12747,12761,256,9956,0.04539767649687221,0.0010591601021587849
Overall,base,Detectron2,detectron2,509,0.008097165991902834,0.00015672752919050232,0.0003075030750307503,0.0004381347433480742,0.00018288788592951954,0.8513463845782433,2,245,12759,12761,247,32286,0.01434121434121434,0.0010002393973991275
Overall,base,PaddleDetection,paddledetection,509,0.097911227154047,0.005877282344643837,0.011088933244621867,0.007638271023089647,0.0022514809516386027,0.661349687790023,75,691,12686,12761,766,203831,0.044041450777202076,0.08138750493526459
Overall,trained,YOLO8n-seg,yolov8n_seg_trained,509,0.950320642909327,0.9174045921166053,0.9335725677830942,0.9500788441883639,0.5980573717716882,0.8092007523512194,11707,612,1054,12761,12319,40561,0.9360777496839444,0.4515840411186218
Overall,trained,Yolov10n-det,yolov10n_det_trained,509,0.9487345354572653,0.9194420499960818,0.9338586437440305,0.9456415366838397,0.5903770270955068,0.8082538882665534,11733,634,1028,12761,12367,46080,0.9374094805652328,0.41289281845092773
Overall,trained,YOLO11x-seg,yolo11x_seg_trained,509,0.9504299853967224,0.9180315022333673,0.9339498545063182,0.9490518989709449,0.5979961142458123,0.8109550758358259,11715,611,1046,12761,12326,44173,0.9375122736734615,0.4250706136226654
Overall,trained,Detectron2,detectron2_trained,509,0.9240910906911706,0.9062769375440796,0.9150973255261908,0.9094328203181832,0.5247994037799362,0.7882303762213072,11565,950,1196,12761,12515,32436,0.9151402460735056,0.49997079372406006
Overall,trained,PaddleDetection,paddledetection_trained,509,0.7138975155279503,0.28822192618133374,0.41065148216379166,0.337269226578422,0.17853248100118604,0.7838048229205415,3678,1474,9083,12761,5152,203600,0.4342426909162022,0.397411048412323
Kadi Registry Book,base,DeepLabV3,deeplabv3,93,0.102803738317757,0.030054644808743168,0.046511627906976744,0.008282139312263601,0.0017011367999605368,0.6294751904392325,22,192,710,732,214,265,0.052194543297746136,0.5617802143096924
Kadi Registry Book,base,SAM (large),sam_large,93,0.23917748917748918,0.6038251366120219,0.34263565891472875,0.2826696531020576,0.1671961089966097,0.8004459625162323,442,1406,290,732,1848,1848,0.47928616953473546,0.9618683457374573
